day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,mid_price_change,date,time,spread,spread_pct,total_volume
-1,1970-01-01 00:00:00,KELP,2028.0,1.0,2026.0,2.0,2025.0,29.0,2029.0,31.0,,,,,2028.5,0.0,-7974.5,1970-01-01,00:00:00,1.0,0.04929751047572097,
-1,1970-01-01 00:01:40,KELP,2025.0,24.0,,,,,2028.0,2.0,2029.0,22.0,,,2026.5,-13.42578125,-2.0,1970-01-01,00:01:40,3.0,0.1480384900074019,
-1,1970-01-01 00:03:20,KELP,2025.0,22.0,,,,,2028.0,20.0,,,,,2026.5,-30.28125,-7973.5,1970-01-01,00:03:20,3.0,0.1480384900074019,
-1,1970-01-01 00:05:00,KELP,2025.0,31.0,,,,,2028.0,2.0,2029.0,29.0,,,2026.5,-50.578125,0.0,1970-01-01,00:05:00,3.0,0.1480384900074019,
-1,1970-01-01 00:06:40,KELP,2025.0,27.0,,,,,2028.0,27.0,,,,,2026.5,-62.7109375,-7973.5,1970-01-01,00:06:40,3.0,0.1480384900074019,
-1,1970-01-01 00:08:20,KELP,2025.0,30.0,,,,,2028.0,30.0,,,,,2026.5,-67.703125,0.0,1970-01-01,00:08:20,3.0,0.1480384900074019,
-1,1970-01-01 00:10:00,KELP,2026.0,5.0,2025.0,31.0,,,2028.0,25.0,,,,,2027.0,-55.8828125,-7975.5,1970-01-01,00:10:00,2.0,0.09866798223976321,
-1,1970-01-01 00:11:40,KELP,2025.0,2.0,2024.0,23.0,,,2028.0,23.0,,,,,2026.5,-37.953125,-0.5,1970-01-01,00:11:40,3.0,0.1480384900074019,
-1,1970-01-01 00:13:20,KELP,2024.0,1.0,2023.0,29.0,,,2027.0,30.0,,,,,2025.5,-5.5078125,-7974.5,1970-01-01,00:13:20,3.0,0.1481115773882992,
-1,1970-01-01 00:15:00,KELP,2024.0,23.0,,,,,2027.0,23.0,,,,,2025.5,-30.1875,0.0,1970-01-01,00:15:00,3.0,0.1481115773882992,
-1,1970-01-01 00:16:40,KELP,2024.0,26.0,,,,,2026.0,6.0,2027.0,26.0,,,2025.0,-31.984375,-7975.0,1970-01-01,00:16:40,2.0,0.09876543209876544,
-1,1970-01-01 00:18:20,KELP,2025.0,6.0,2024.0,26.0,,,2027.0,2.0,2028.0,24.0,,,2026.0,-37.546875,1.0,1970-01-01,00:18:20,2.0,0.09871668311944717,
-1,1970-01-01 00:20:00,KELP,2024.0,21.0,,,,,2026.0,8.0,2028.0,21.0,,,2025.0,-43.171875,-7971.5,1970-01-01,00:20:00,2.0,0.09876543209876544,
-1,1970-01-01 00:21:40,KELP,2024.0,31.0,,,,,2028.0,31.0,,,,,2026.0,-43.984375,1.0,1970-01-01,00:21:40,4.0,0.19743336623889435,
-1,1970-01-01 00:23:20,KELP,2025.0,3.0,2024.0,25.0,,,2028.0,26.0,,,,,2026.5,-52.6015625,-7973.5,1970-01-01,00:23:20,3.0,0.1480384900074019,
-1,1970-01-01 00:25:00,KELP,2024.0,27.0,,,,,2028.0,27.0,,,,,2026.0,-55.203125,-0.5,1970-01-01,00:25:00,4.0,0.19743336623889435,
-1,1970-01-01 00:26:40,KELP,2024.0,29.0,,,,,2026.0,4.0,2028.0,29.0,,,2025.0,-50.6796875,-7975.0,1970-01-01,00:26:40,2.0,0.09876543209876544,
-1,1970-01-01 00:28:20,KELP,2024.0,22.0,,,,,2026.0,8.0,2028.0,22.0,,,2025.0,-46.4375,0.0,1970-01-01,00:28:20,2.0,0.09876543209876544,
-1,1970-01-01 00:30:00,KELP,2024.0,23.0,,,,,2028.0,23.0,,,,,2026.0,-40.7265625,-7977.0,1970-01-01,00:30:00,4.0,0.19743336623889435,
-1,1970-01-01 00:31:40,KELP,2024.0,29.0,,,,,2026.0,5.0,2027.0,29.0,,,2025.0,-25.5703125,-1.0,1970-01-01,00:31:40,2.0,0.09876543209876544,
-1,1970-01-01 00:33:20,KELP,2024.0,26.0,,,,,2027.0,26.0,,,,,2025.5,-26.7578125,-7974.5,1970-01-01,00:33:20,3.0,0.1481115773882992,
-1,1970-01-01 00:35:00,KELP,2024.0,27.0,,,,,2027.0,2.0,2028.0,25.0,,,2025.5,-35.609375,-7973.5,1970-01-01,00:35:00,3.0,0.1481115773882992,
-1,1970-01-01 00:36:40,KELP,2024.0,25.0,,,,,2026.0,7.0,2027.0,1.0,2028.0,24.0,2025.0,-38.140625,-7976.0,1970-01-01,00:36:40,2.0,0.09876543209876544,
-1,1970-01-01 00:38:20,KELP,2024.0,32.0,,,,,2028.0,32.0,,,,,2026.0,-45.0390625,1.0,1970-01-01,00:38:20,4.0,0.19743336623889435,
-1,1970-01-01 00:40:00,KELP,2024.0,29.0,,,,,2025.0,1.0,2028.0,29.0,,,2024.5,-48.5546875,-7976.5,1970-01-01,00:40:00,1.0,0.04939491232403062,
-1,1970-01-01 00:41:40,KELP,2025.0,2.0,2024.0,23.0,,,2027.0,1.0,2028.0,22.0,,,2026.0,-38.765625,-7974.0,1970-01-01,00:41:40,2.0,0.09871668311944717,
-1,1970-01-01 00:43:20,KELP,2025.0,3.0,2024.0,23.0,,,2028.0,23.0,,,,,2026.5,-38.8984375,-7973.5,1970-01-01,00:43:20,3.0,0.1480384900074019,
-1,1970-01-01 00:45:00,KELP,2024.0,26.0,,,,,2027.0,26.0,,,,,2025.5,-32.390625,-1.0,1970-01-01,00:45:00,3.0,0.1481115773882992,
-1,1970-01-01 00:46:40,KELP,2023.0,25.0,,,,,2027.0,25.0,,,,,2025.0,-0.5390625,-7976.5,1970-01-01,00:46:40,4.0,0.19753086419753088,
-1,1970-01-01 00:48:20,KELP,2023.0,26.0,,,,,2027.0,26.0,,,,,2025.0,5.546875,-7975.0,1970-01-01,00:48:20,4.0,0.19753086419753088,
-1,1970-01-01 00:50:00,KELP,2024.0,29.0,,,,,2027.0,26.0,,,,,2025.5,-10.90625,-7976.0,1970-01-01,00:50:00,3.0,0.1481115773882992,
-1,1970-01-01 00:51:40,KELP,2023.0,26.0,,,,,2025.0,5.0,2026.0,26.0,,,2024.0,38.671875,-1.5,1970-01-01,00:51:40,2.0,0.09881422924901186,
-1,1970-01-01 00:53:20,KELP,2023.0,23.0,,,,,2025.0,3.0,2026.0,23.0,,,2024.0,29.8359375,-7976.0,1970-01-01,00:53:20,2.0,0.09881422924901186,
-1,1970-01-01 00:55:00,KELP,2023.0,32.0,,,,,2025.0,2.0,2026.0,32.0,,,2024.0,22.8046875,-7976.0,1970-01-01,00:55:00,2.0,0.09881422924901186,
-1,1970-01-01 00:56:40,KELP,2023.0,26.0,,,,,2026.0,26.0,,,,,2024.5,24.1796875,-7975.5,1970-01-01,00:56:40,3.0,0.14818473697209186,
-1,1970-01-01 00:58:20,KELP,2023.0,26.0,,,,,2026.0,26.0,,,,,2024.5,23.34375,0.0,1970-01-01,00:58:20,3.0,0.14818473697209186,
-1,1970-01-01 01:00:00,KELP,2023.0,21.0,,,,,2026.0,21.0,,,,,2024.5,23.515625,-7975.5,1970-01-01,01:00:00,3.0,0.14818473697209186,
-1,1970-01-01 01:01:40,KELP,2023.0,27.0,,,,,2026.0,24.0,,,,,2024.5,38.609375,-7978.5,1970-01-01,01:01:40,3.0,0.14818473697209186,
-1,1970-01-01 01:03:20,KELP,2023.0,25.0,,,,,2026.0,25.0,,,,,2024.5,39.125,-7974.5,1970-01-01,01:03:20,3.0,0.14818473697209186,
-1,1970-01-01 01:05:00,KELP,2023.0,28.0,,,,,2026.0,26.0,,,,,2024.5,34.7890625,0.0,1970-01-01,01:05:00,3.0,0.14818473697209186,
-1,1970-01-01 01:06:40,KELP,2023.0,32.0,,,,,2026.0,32.0,,,,,2024.5,25.0078125,-7976.5,1970-01-01,01:06:40,3.0,0.14818473697209186,
-1,1970-01-01 01:08:20,KELP,2023.0,29.0,,,,,2027.0,29.0,,,,,2025.0,6.421875,-7975.0,1970-01-01,01:08:20,4.0,0.19753086419753088,
-1,1970-01-01 01:10:00,KELP,2023.0,26.0,,,,,2027.0,26.0,,,,,2025.0,7.1796875,-7974.0,1970-01-01,01:10:00,4.0,0.19753086419753088,
-1,1970-01-01 01:11:40,KELP,2023.0,29.0,,,,,2024.0,5.0,2026.0,22.0,,,2023.5,26.25,-1.5,1970-01-01,01:11:40,1.0,0.04941932295527551,
-1,1970-01-01 01:13:20,KELP,2023.0,30.0,,,,,2026.0,30.0,,,,,2024.5,23.6484375,-7972.0,1970-01-01,01:13:20,3.0,0.14818473697209186,
-1,1970-01-01 01:15:00,KELP,2023.0,28.0,,,,,2026.0,29.0,,,,,2024.5,28.2734375,-7974.5,1970-01-01,01:15:00,3.0,0.14818473697209186,
-1,1970-01-01 01:16:40,KELP,2023.0,30.0,,,,,2026.0,30.0,,,,,2024.5,27.1484375,-7974.5,1970-01-01,01:16:40,3.0,0.14818473697209186,
-1,1970-01-01 01:18:20,KELP,2023.0,25.0,,,,,2025.0,3.0,2026.0,32.0,,,2024.0,17.515625,-0.5,1970-01-01,01:18:20,2.0,0.09881422924901186,
-1,1970-01-01 01:20:00,KELP,2023.0,24.0,,,,,2027.0,24.0,,,,,2025.0,6.75,-7975.0,1970-01-01,01:20:00,4.0,0.19753086419753088,
-1,1970-01-01 01:21:40,KELP,2023.0,22.0,,,,,2027.0,22.0,,,,,2025.0,3.65625,-7973.5,1970-01-01,01:21:40,4.0,0.19753086419753088,
-1,1970-01-01 01:23:20,KELP,2023.0,30.0,,,,,2026.0,30.0,,,,,2024.5,24.828125,-7976.5,1970-01-01,01:23:20,3.0,0.14818473697209186,
-1,1970-01-01 01:25:00,KELP,2023.0,37.0,,,,,2026.0,31.0,,,,,2024.5,23.7421875,0.0,1970-01-01,01:25:00,3.0,0.14818473697209186,
-1,1970-01-01 01:26:40,KELP,2023.0,35.0,,,,,2026.0,27.0,,,,,2024.5,25.34375,-7975.5,1970-01-01,01:26:40,3.0,0.14818473697209186,
