day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,mid_price_change,date,time,spread,spread_pct,total_volume
-1,1970-01-01 00:00:00,RAINFOREST_RESIN,10002.0,1.0,9996.0,2.0,9995.0,29.0,10004.0,2.0,10005.0,29.0,,,10003.0,0.0,,1970-01-01,00:00:00,2.0,0.019994001799460162,
-1,1970-01-01 00:01:40,RAINFOREST_RESIN,9996.0,2.0,9995.0,22.0,,,10004.0,2.0,10005.0,22.0,,,10000.0,3.0,7973.5,1970-01-01,00:01:40,8.0,0.08,
-1,1970-01-01 00:03:20,RAINFOREST_RESIN,9995.0,20.0,,,,,10005.0,20.0,,,,,10000.0,3.0,0.0,1970-01-01,00:03:20,10.0,0.1,
-1,1970-01-01 00:05:00,RAINFOREST_RESIN,9996.0,2.0,9995.0,29.0,,,10004.0,2.0,10005.0,29.0,,,10000.0,3.0,7973.5,1970-01-01,00:05:00,8.0,0.08,
-1,1970-01-01 00:06:40,RAINFOREST_RESIN,9996.0,2.0,9995.0,25.0,,,10004.0,2.0,10005.0,25.0,,,10000.0,3.0,0.0,1970-01-01,00:06:40,8.0,0.08,
-1,1970-01-01 00:08:20,RAINFOREST_RESIN,9995.0,30.0,,,,,10002.0,4.0,10005.0,30.0,,,9998.5,3.0,7972.0,1970-01-01,00:08:20,7.0,0.07001050157523629,
-1,1970-01-01 00:10:00,RAINFOREST_RESIN,10000.0,5.0,9995.0,25.0,,,10005.0,25.0,,,,,10002.5,3.0,4.0,1970-01-01,00:10:00,5.0,0.04998750312421895,
-1,1970-01-01 00:11:40,RAINFOREST_RESIN,9995.0,23.0,,,,,10005.0,23.0,,,,,10000.0,3.0,7973.5,1970-01-01,00:11:40,10.0,0.1,
-1,1970-01-01 00:13:20,RAINFOREST_RESIN,9996.0,1.0,9995.0,29.0,,,10004.0,1.0,10005.0,29.0,,,10000.0,3.0,0.0,1970-01-01,00:13:20,8.0,0.08,
-1,1970-01-01 00:15:00,RAINFOREST_RESIN,9996.0,1.0,9995.0,22.0,,,10004.0,1.0,10005.0,22.0,,,10000.0,3.0,7974.5,1970-01-01,00:15:00,8.0,0.08,
-1,1970-01-01 00:16:40,RAINFOREST_RESIN,9995.0,26.0,,,,,10005.0,26.0,,,,,10000.0,3.0,0.0,1970-01-01,00:16:40,10.0,0.1,
-1,1970-01-01 00:18:20,RAINFOREST_RESIN,9996.0,2.0,9995.0,24.0,,,10004.0,2.0,10005.0,24.0,,,10000.0,3.0,7974.0,1970-01-01,00:18:20,8.0,0.08,
-1,1970-01-01 00:20:00,RAINFOREST_RESIN,9995.0,21.0,,,,,9998.0,1.0,10005.0,21.0,,,9996.5,8.0,-3.5,1970-01-01,00:20:00,3.0,0.0300105036762867,
